"Uni"	"City"
"Sheridan College"	"Sheridan, WY"
"Sheridan Technical College"	"Hollywood, FL"
"Sherman College of Chiropractic"	"Spartanburg, SC"
"Shippensburg University of Pennsylvania"	"Shippensburg, PA"
"Shoreline Community College"	"Shoreline, WA"
"Shorter University"	"Rome, GA"
"Siena College"	"Loudonville, NY"
"Sierra College of Beauty"	"Merced, CA"
"Sierra Nevada College"	"Incline Village, NV"
"Signature Healthcare Brockton Hospital School of Nursing"	"Brockton, MA"
"Silver Lake College"	"Manitowoc, WI"
"Simmons College of Kentucky"	"Louisville, KY"
"Simpson College"	"Indianola, IA"
"Simpson University"	"Redding, CA"
"Sinclair Community College"	"Dayton, OH"
"Sinte Gleska University"	"Mission, SD"
"Sisseton Wahpeton College"	"Sisseton, SD"
"Sitting Bull College"	"Fort Yates, ND"
"Skagit Valley College"	"Mount Vernon, WA"
"Skidmore College"	"Saratoga Springs, NY"
"Skyline College - CA"	"San Bruno, CA"
"Slippery Rock University of Pennsylvania"	"Slippery Rock, PA"
"Smith College"	"Northampton, MA"
"Snead State Community College"	"Boaz, AL"
"Snow College"	"Ephraim, UT"
"Sofia University"	"Palo Alto, CA"
"Somerset Christian College"	"Zarephath, NJ"
"Somerset Community College"	"Somerset, KY"
"Sonoma State University"	"Rohnert Park, CA"
"Sonoran Desert Institute"	"Scottsdale, AZ"
"South Arkansas Community College"	"El Dorado, AR"
"South Baylo University"	"Anaheim, CA"
"South Carolina State University"	"Orangeburg, SC"
"South Central College"	"North Mankato, MN"
"South College - Asheville"	"Asheville, NC"
"South Dakota School of Mines and Technology"	"Rapid City, SD"
"South Dakota State University"	"Brookings, SD"
"South Florida Institute of Technology"	"Miami, FL"
"South Georgia State College"	"Douglas, GA"
"South Hills School of Business & Technology"	"State College, PA"
"South Louisiana Community College"	"Lafayette, LA"
"South Mountain Community College"	"Phoenix, AZ"
"South Piedmont Community College"	"Polkton, NC"
"South Plains College"	"Levelland, TX"
"South Puget Sound Community College"	"Olympia, WA"
"South Seattle College"	"Seattle, WA"
"South Suburban College"	"South Holland, IL"
"South Texas College of Law Houston"	"Houston, TX"
"South University-Austin"	"Austin, TX"
"South University-High Point"	"High Point, NC"
"Southcentral Kentucky Community and Technical College"	"Bowling Green, KY"
"Southeast Arkansas College"	"Pine Bluff, AR"
"Southeast Kentucky Community and Technical College"	"Cumberland, KY"
"Southeast Missouri Hospital College of Nursing and Health Sciences"	"Cape Girardeau, MO"
"Southeast Missouri State University"	"Cape Girardeau, MO"
"Southeast Technical Institute"	"Sioux Falls, SD"
"Southeast Texas Career Institute"	"Silsbee, TX"
"Southeastern Baptist Theological Seminary"	"Wake Forest, NC"
"Southeastern Community College - IA"	"West Burlington, IA"
"Southeastern Community College - NC"	"Whiteville, NC"
"Southeastern Illinois College"	"Harrisburg, IL"
"Southeastern Louisiana University"	"Hammond, LA"
"Southeastern Technical Institute"	"South Easton, MA"
"Southeastern University"	"Lakeland, FL"
"Southern Adventist University"	"Collegedale, TN"
"Southern Arkansas University"	"Magnolia, AR"
"Southern Arkansas University Tech"	"Camden, AR"
"The Southern Baptist Theological Seminary"	"Louisville, KY"
"Southern California Health Institute"	"North Hollywood, CA"
"Southern California Institute of Technology"	"Anaheim, CA"
"Southern California Seminary"	"El Cajon, CA"
"Southern California University of Health Sciences"	"Whittier, CA"
"Southern Careers Institute-San Antonio"	"San Antonio, TX"
"Southern Connecticut State University"	"New Haven, CT"
"Southern Illinois University - Carbondale"	"Carbondale, IL"
"Southern Maine Community College"	"South Portland, ME"
"Southern Nazarene University"	"Bethany, OK"
"Southern Oklahoma Technology Center"	"Ardmore, OK"
"Southern Texas Careers Academy"	"McAllen, TX"
"Southern University and A & M College"	"Baton Rouge, LA"
"Southern University at New Orleans"	"New Orleans, LA"
"Southern University at Shreveport"	"Shreveport, LA"
"Southern University Law Center"	"Baton Rouge, LA"
"Southern Virginia University"	"Buena Vista, VA"
"Southern West Virginia Community and Technical College"	"Mount Gay, WV"
"Southern Westchester BOCES-Practical Nursing Program"	"Elmsford, NY"
"Southside Regional Medical Center Professional Schools"	"Petersburg, VA"
"Southside Virginia Community College"	"Alberta, VA"
"Southwest Applied Technology Center"	"Cedar City, UT"
"Southwest Baptist University"	"Bolivar, MO"
"Southwest Career College"	"El Paso, TX"
"Southwest College of Naturopathic Medicine & Health Sciences"	"Tempe, AZ"
"Southwest Collegiate Institute for the Deaf"	"Big Spring, TX"
"Southwest Institute of Healing Arts"	"Tempe, AZ"
"Southwest Minnesota State University"	"Marshall, MN"
"Southwest Mississippi Community College"	"Summit, MS"
"Southwest Texas Junior College"	"Uvalde, TX"
"Southwest Virginia Community College"	"Richlands, VA"
"Southwest Wisconsin Technical College"	"Fennimore, WI"
"Southwestern Adventist University"	"Keene, TX"
"Southwestern Assemblies of God University"	"Waxahachie, TX"
"Southwestern Christian University"	"Bethany, OK"
"Southwestern College - CA"	"Chula Vista, CA"
"Southwestern College - KS"	"Winfield, KS"
"Southwestern College - NM"	"Santa Fe, NM"
"Southwestern Community College - IA"	"Creston, IA"
"Southwestern Community College - NC"	"Sylva, NC"
"Southwestern Indian Polytechnic Institute"	"Albuquerque, NM"
"Southwestern Law School"	"Los Angeles, CA"
"Southwestern Michigan College"	"Dowagiac, MI"
"Southwestern Oklahoma State University"	"Weatherford, OK"
"Southwestern University"	"Georgetown, TX"
"Sowela Technical Community College"	"Lake Charles, LA"
"Spartanburg Community College"	"Spartanburg, SC"
"Spartanburg Methodist College"	"Spartanburg, SC"
"Specs Howard School of Media Arts"	"Southfield, MI"
"Spelman College"	"Atlanta, GA"
"Spertus College"	"Chicago, IL"
"Spokane Community College"	"Spokane, WA"
"Spokane Falls Community College"	"Spokane, WA"
"Spoon River College"	"Canton, IL"
"Springfield College"	"Springfield, MA"
"Springfield College-School of Human Services"	"Springfield, MA"
"Springfield Technical Community College"	"Springfield, MA"
"St Charles Community College"	"Cottleville, MO"
"St Clair County Community College"	"Port Huron, MI"
"St Cloud Technical and Community College"	"St. Cloud, MN"
"St Lawrence University"	"Canton, NY"
"St Louis College of Pharmacy"	"St. Louis, MO"
"St Margaret School of Nursing"	"Pittsburgh, PA"
"St Mary's College of Maryland"	"St. Mary's City, MD"
"St Olaf College"	"Northfield, MN"
"St Philip's College"	"San Antonio, TX"
"St. Augustine's University"	"Raleigh, NC"
"St. Catherine University"	"Saint Paul, MN"
"St. Francis College"	"Brooklyn Heights, NY"
"St. John Fisher College"	"Rochester, NY"
"St. John's College of Nursing - IL"	"Springfield, IL"
"St. Joseph School of Nursing - NH"	"Nashua, NH"
"St. Joseph's College of Nursing at St. Joseph's Hospital Health Center"	"Syracuse, NY"
"St. Luke's College"	"Sioux City, IA"
"St. Mary's University"	"San Antonio, TX"
"St. Peter's University"	"Jersey City, NJ"
"St. Petersburg College"	"Clearwater, FL"
"St. Vincent's College"	"Bridgeport, CT"
"Stage One-The Hair School"	"Lake Charles, LA"
"Standard Beauty College of Oklahoma LLC"	"Sand Springs, OK"
"Stanford University"	"Stanford, CA"
"Stanly Community College"	"Albemarle, NC"
"Star College of Cosmetology 2"	"Tyler, TX"
"Stark State College"	"North Canton, OH"
"State Fair Community College"	"Sedalia, MO"
"State Technical College of Missouri"	"Linn, MO"
"Stephen F. Austin State University"	"Nacogdoches, TX"
"Stephens College"	"Columbia, MO"
"Sterling College - KS"	"Sterling, KS"
"Stetson University"	"Deland, FL"
"Stevens Institute of Business & Arts"	"St. Louis, MO"
"Stevens Institute of Technology"	"Hoboken, NJ"
"Stevenson University"	"Stevenson, MD"
"Stevensons Academy of Hair Design"	"New Orleans, LA"
"Stewart School"	"Sioux Falls, SD"
"Stillman College"	"Tuscaloosa, AL"
"Stone Child College"	"Box Elder, MT"
"Stonehill College"	"Easton, MA"
"Stony Brook University"	"Stony Brook, NY"
"Studio Academy of Beauty"	"Chandler, AZ"
"Stylemaster College of Hair Design"	"Longview, WA"
"Success Schools LLC"	"Merrillville, IN"
"Suffolk County Community College"	"Selden, NY"
"Suffolk University"	"Boston, MA"
"Sul Ross State University"	"Alpine, TX"
"Sullivan and Cogliano Training Center"	"Brockton, MA"
"Sullivan College of Technology and Design"	"Louisville, KY"
"Sullivan County Community College"	"Loch Sheldrake, NY"
"Summit Academy Opportunities Industrialization Center"	"Minneapolis, MN"
"Sumner College"	"Portland, OR"
"SUNY at Albany"	"Albany, NY"
"SUNY College at Cortland"	"Cortland, NY"
"SUNY College at Oswego"	"Oswego, NY"
"SUNY College of Technology at Canton"	"Canton, NY"
"SUNY College of Technology at Delhi"	"Delhi, NY"
"SUNY Corning Community College"	"Corning, NY"
"SUNY Morrisville"	"Morrisville, NY"
"Surry Community College"	"Dobson, NC"
"Susquehanna University"	"Selinsgrove, PA"
"Sussex County Community College"	"Newton, NJ"
"Suwannee-Hamilton Technical Center"	"Live Oak, FL"
"Swarthmore College"	"Swarthmore, PA"
"Swedish Institute"	"New York, NY"
"Sweet Briar College"	"Sweet Briar, VA"
"System - A Paul Mitchell Partner School"	"Springfield, MO"
"Tabor College"	"Hillsboro, KS"
"Tacoma Community College"	"Tacoma, WA"
"Taft College"	"Taft, CA"
"Taft University System"	"Santa Ana, CA"
"Talladega College"	"Talladega, AL"
"Tallahassee Community College"	"Tallahassee, FL"
"Tarleton State University"	"Stephenville, TX"
"Tarrant County College District"	"Fort Worth, TX"
"Taylor Andrews Academy-St. George"	"St. George, UT"
"Taylor College"	"Belleview, FL"
"Taylor Technical Institute"	"Perry, FL"
"Taylor University"	"Upland, IN"
"Taylortown School of Beauty Inc"	"Taylor, MI"
"TCTC Adult Training Center"	"Warren, OH"
"TDDS Technical Institute"	"Lake Milton, OH"
"Teachers College at Columbia University"	"New York, NY"
"Technical College of the Lowcountry"	"Beaufort, SC"
"Technical Education Center-Osceola"	"Kissimmee, FL"
"Technical Learning Centers Inc"	"Washington D.C., DC"
"Temple College"	"Temple, TX"
"Temple University"	"Philadelphia, PA"
"The Temple-A Paul Mitchell Partner School"	"Frederick, MD"
"Tennessee College of Applied Technology - Athens"	"Athens, TN"
"Tennessee College of Applied Technology - Covington"	"Covington, TN"
"Tennessee College of Applied Technology - Crossville"	"Crossville, TN"
"Tennessee College of Applied Technology - Crump"	"Crump, TN"
"Tennessee College of Applied Technology - Dickson"	"Dickson, TN"
"Tennessee College of Applied Technology - Elizabethton"	"Elizabethton, TN"
"Tennessee College of Applied Technology - Harriman"	"Harriman, TN"
"Tennessee College of Applied Technology - Hartsville"	"Hartsville, TN"
"Tennessee College of Applied Technology - Hohenwald"	"Hohenwald, TN"
"Tennessee College of Applied Technology - Jacksboro"	"Jacksboro, TN"
"Tennessee College of Applied Technology - Jackson"	"Jackson, TN"
"Tennessee College of Applied Technology - Knoxville"	"Knoxville, TN"
"Tennessee College of Applied Technology - Livingston"	"Livingston, TN"
"Tennessee College of Applied Technology - McKenzie"	"McKenzie, TN"
"Tennessee College of Applied Technology - McMinnville"	"McMinnville, TN"
"Tennessee College of Applied Technology - Memphis"	"Memphis, TN"
"Tennessee College of Applied Technology - Morristown"	"Morristown, TN"
"Tennessee College of Applied Technology - Murfreesboro"	"Murfreesboro, TN"
"Tennessee College of Applied Technology - Nashville"	"Nashville, TN"
"Tennessee College of Applied Technology - Newbern"	"Newbern, TN"
"Tennessee College of Applied Technology - Oneida-Huntsville"	"Huntsville, TN"
"Tennessee College of Applied Technology - Paris"	"Paris, TN"
"Tennessee College of Applied Technology - Pulaski"	"Pulaski, TN"
"Tennessee College of Applied Technology - Ripley"	"Ripley, TN"
"Tennessee College of Applied Technology - Shelbyville"	"Shelbyville, TN"
"Tennessee College of Applied Technology - Whiteville"	"Whiteville, TN"
"Tennessee School of Beauty of Knoxville Inc"	"Knoxville, TN"
"Tennessee State University"	"Nashville, TN"
"Tennessee Tech University"	"Cookeville, TN"
"Tennessee Wesleyan University"	"Athens, TN"
"Terra State Community College"	"Fremont, OH"
"Teterboro School of Aeronautics"	"Teterboro, NJ"
"Texarkana College"	"Texarkana, TX"
"Texas A&M University - College Station"	"College Station, TX"
"Texas A&M University - Commerce"	"Commerce, TX"
"Texas A&M University - Kingsville"	"Kingsville, TX"
"Texas A&M University - Texarkana"	"Texarkana, TX"
"Texas A&M University-Central Texas"	"Killeen, TX"
"Texas A&M University-San Antonio"	"One University Way, TX"
"Texas Beauty College"	"Haltom City, TX"
"Texas Chiropractic College Foundation Inc"	"Pasadena, TX"
"Texas Christian University"	"Fort Worth, TX"
"Texas College"	"Tyler, TX"
"Texas County Technical Institute"	"Houston, MO"
"Texas Health and Science University"	"Austin, TX"
"Texas Health School"	"Houston, TX"
"Texas Lutheran University"	"Seguin, TX"
"Texas Southern University"	"Houston, TX"
"Texas State University"	"San Marcos, TX"
"Texas Tech University"	"Lubbock, TX"
"Texas Tech University Health Sciences Center"	"Lubbock, TX"
"Texas Wesleyan University"	"Fort Worth, TX"
"Thaddeus Stevens College of Technology"	"Lancaster, PA"
"Thiel College"	"Greenville, PA"
"Thomas College"	"Waterville, ME"
"Thomas Edison State University"	"Trenton, NJ"
"Thomas Jefferson University"	"Philadelphia, PA"
"Thomas Nelson Community College"	"Hampton, VA"
"Thomas University"	"Thomasville, GA"
"Three Rivers Community College - CT"	"Norwich, CT"
"Three Rivers Community College - MO"	"Poplar Bluff, MO"
"Thunderbird School of Global Management"	"Glendale, AZ"
"Tidewater Community College"	"Norfolk, VA"
"Tidewater Tech-Trades"	"Norfolk, VA"
"Tiffin University"	"Tiffin, OH"
"Tillamook Bay Community College"	"Tillamook, OR"
"Toccoa Falls College"	"Toccoa Falls, GA"
"Tohono O'Odham Community College"	"Sells, AZ"
"Toledo Public Schools Adult & Continuing Education"	"Toledo, OH"
"Tom P Haney Technical Center"	"Panama City, FL"
"Tompkins Cortland Community College"	"Dryden, NY"
"Tooele Applied Technology College"	"Tooele, UT"
"Top Nails & Hair Beauty School"	"UT 84118-0000, UT"
"Total Image Beauty Academy"	"Union City, NJ"
"Tougaloo College"	"Tougaloo, MS"
"Touro College"	"New York, NY"
"Touro University California"	"Vallejo, CA"
"Touro University Nevada"	"Henderson, NV"
"Towson University"	"Towson, MD"
"Transformed Barber and Cosmetology Academy"	"Kansas City, MO"
"Transylvania University"	"Lexington, KY"
"Traviss Career Center"	"Lakeland, FL"
"Treasure Valley Community College"	"Ontario, OR"
"Trend Setters College of Cosmetology"	"Bradley, IL"
"Trend Setters' Academy of Beauty Culture"	"Louisville, KY"
"Trenz Beauty Academy"	"IL 60409, IL"
"Tri-County Adult Career Center"	"Nelsonville, OH"
"Tri-County Community College"	"Murphy, NC"
"Tri-County Technical College"	"Pendleton, SC"
"Tri-Rivers Career Center"	"Marion, OH"
"Tri-State Cosmetology Institute 1"	"El Paso, TX"
"Tribeca Flashpoint College"	"Chicago, IL"
"Trine University Online"	"Fort Wayne, IN"
"Trinity Baptist College"	"Jacksonville, FL"
"Trinity Bible College"	"Ellendale, ND"
"Trinity Christian College"	"Palos Heights, IL"
"Trinity College"	"Hartford, CT"
"Trinity College of Florida"	"Trinity, FL"
"Trinity College of Nursing and Health Sciences"	"Rock Island, IL"
"Trinity International University - Illinois"	"Deerfield, IL"
"Trinity International University-Florida"	"Davie, FL"
"Trinity Law School"	"Santa Ana, CA"
"Trinity University"	"San Antonio, TX"
"Trinity Valley Community College"	"Athens, TX"
"Trinity Vocational Center"	"Gardena, CA"
"Trinity Washington University"	"Washington D.C., DC"
"Triton College"	"River Grove, IL"
"Trocaire College"	"Buffalo, NY"
"Troy University"	"Troy, AL"
"Truckee Meadows Community College"	"Reno, NV"
"Truett McConnell University"	"Cleveland, GA"
"Truman State University"	"Kirksville, MO"
"Tucson College"	"Tucson, AZ"
"Tufts University"	"Medford, MA"
"Tulsa Community College"	"Tulsa, OK"
"Tunxis Community College"	"Farmington, CT"
"Turtle Mountain Community College"	"Belcourt, ND"
"Tusculum University"	"Greeneville, TN"
"Tuskegee University"	"Tuskegee, AL"
"Twin City Beauty College"	"St. Joseph, MI"
"Tyler Junior College"	"Tyler, TX"
"UEI College-Fresno"	"Fresno, CA"
"Uintah Basin Applied Technology College"	"Roosevelt, UT"
"Ukiah Adult School"	"Ukiah, CA"
"Ulster County BOCES-School of Practical Nursing"	"Port Ewen, NY"
"Ulster County Community College"	"Stone Ridge, NY"
"Umpqua Community College"	"Roseburg, OR"
"Union College - KY"	"Barbourville, KY"
"Union College - NE"	"Lincoln, NE"
"Union College - NY"	"Schenectady, NY"
"Union County College"	"Cranford, NJ"
"Union County Vocational Technical School"	"Scotch Plains, NJ"
"Union Institute & University"	"Cincinnati, OH"
"Union University"	"Jackson, TN"
"United States Air Force Academy"	"USAFA, CO"
"United States Coast Guard Academy"	"New London, CT"
"United States Military Academy"	"West  Point, NY"
"United States Naval Academy"	"Annapolis, MD"
"United States Sports Academy"	"Daphne, AL"
"United Tribes Technical College"	"Bismarck, ND"
"Unitek College"	"Fremont, CA"
"Unity College"	"Unity, ME"
"Universal Training Institute"	"Perth Amboy, NJ"
"University at Buffalo"	"Buffalo, NY"
"University of Akron"	"Akron, OH"
"University of Akron Wayne College"	"Orrville, OH"
"University of Alabama"	"Tuscaloosa, AL"
"University of Alaska Anchorage"	"Anchorage, AK"
"University of Alaska Southeast"	"Juneau, AK"
"University of Antelope Valley"	"Lancaster, CA"
"University of Arizona"	"Tucson, AZ"
"University of Arizona - Engineering"	"Tucson, AZ"
"University of Arkansas"	"Fayetteville, AR"
"University of Arkansas - Fort Smith"	"Fort Smith, AR"
"University of Arkansas at Little Rock"	"Little Rock, AR"
"University of Arkansas at Pine Bluff"	"Pine Bluff, AR"
"University of Arkansas Community College-Batesville"	"Batesville, AR"
"University of Arkansas Community College-Hope"	"Hope, AR"
"University of Arkansas Community College-Morrilton"	"Morrilton, AR"
"University of Arkansas for Medical Sciences"	"Little Rock, AR"
"University of Baltimore"	"Baltimore, MD"
"University of Bridgeport"	"Bridgeport, CT"
"University of California - Berkeley"	"Berkeley, CA"
"University of California - Los Angeles"	"Los Angeles, CA"
"University of California Hastings College of Law"	"San Francisco, CA"
"University of California-Davis"	"Davis, CA"
"University of California-Irvine"	"Irvine, CA"
"University of California-Merced"	"Merced, CA"
"University of California-Riverside"	"Riverside, CA"
"University of California-San Diego"	"La Jolla, CA"
"University of California-San Francisco"	"San Francisco, CA"
"University of California-Santa Barbara"	"Santa Barbara, CA"
"University of California-Santa Cruz"	"Santa Cruz, CA"
"University of Central Arkansas"	"Conway, AR"
"University of Central Missouri"	"Warrensburg, MO"
"University of Central Oklahoma"	"Edmond, OK"
"University of Charleston"	"Charleston, WV"
"University of Chicago"	"Chicago, IL"
"University of Cincinnati-Clermont College"	"Batavia, OH"
"University of Cincinnati-UC Blue Ash College"	"Blue Ash, OH"
"University of Colorado Boulder"	"Boulder, CO"
"University of Colorado Colorado Springs"	"Colorado Springs, CO"
"University of Connecticut"	"Storrs, CT"
"University of Dallas"	"Irving, TX"
"University of Detroit Mercy"	"Detroit, MI"
"University of Dubuque"	"Dubuque, IA"
"University of East-West Medicine"	"Sunnyvale, CA"
"University of Evansville"	"Evansville, IN"
"The University of Findlay"	"Findlay, OH"
"University of Georgia"	"Athens, GA"
"University of Hartford"	"West Hartford, CT"
"University of Hawaii at Hilo"	"Hilo, HI"
"University of Hawaii at Manoa"	"Honolulu, HI"
"University of Hawaii Maui College"	"Kahului, HI"
"University of Hawaii-West Oahu"	"Pearl City, HI"
"University of Holy Cross"	"New Orleans, LA"
"University of Houston"	"Houston, TX"
"University of Houston - Clear Lake"	"Houston, TX"
"University of Houston-Downtown"	"Houston, TX"
"University of Idaho"	"Moscow, ID"
"University of Illinois Urbana - Champaign"	"Champaign, IL"
"University of Indianapolis"	"Indianapolis, IN"
"University of Iowa"	"Iowa City, IA"
"University of Jamestown"	"Jamestown, ND"
"University of Kansas"	"Lawrence, KS"
"University of La Verne"	"La Verne, CA"
"University of Louisville"	"Louisville, KY"
"University of Lynchburg"	"Lynchburg, VA"
"University of Maine"	"Orono, ME"
"University of Maine at Augusta"	"Augusta, ME"
"University of Maine at Farmington"	"Farmington, ME"
"University of Maine at Fort Kent"	"Fort Kent, ME"
"University of Maine at Machias"	"Machias, ME"
"University of Maine at Presque Isle"	"Presque Isle, ME"
"University of Management and Technology"	"Arlington, VA"
"University of Mary"	"Bismarck, ND"
"University of Mary Hardin-Baylor"	"Belton, TX"
"University of Mary Washington"	"Fredericksburg, VA"
"University of Maryland - Baltimore"	"Baltimore, MD"
"University of Maryland - College Park"	"College Park, MD"
"University of Maryland Eastern Shore"	"Princess Anne, MD"
"University of Maryland Global Campus"	"Adelphi, MD"
"University of Maryland, Baltimore County"	"Baltimore, MD"
"University of Massachusetts - Amherst"	"Amherst, MA"
"University of Massachusetts - Dartmouth"	"North Dartmouth, MA"
"University of Massachusetts - Lowell"	"Lowell, MA"
"University of Massachusetts Medical School Worcester"	"Worcester, MA"
"University of Massachusetts-Boston"	"Boston, MA"
"University of Memphis"	"Memphis, TN"
"University of Miami"	"Coral Gables, FL"
"University of Michigan - Ann Arbor"	"Ann Arbor, MI"
"University of Michigan - Dearborn"	"Dearborn, MI"
"University of Michigan - Flint"	"Flint, MI"
"University of Minnesota-Crookston"	"Crookston, MN"
"University of Minnesota-Duluth"	"Duluth, MN"
"University of Minnesota-Morris"	"Morris, MN"
"University of Minnesota-Rochester"	"Rochester, MN"
"University of Minnesota-Twin Cities"	"Minneapolis, MN"
"University of Mississippi"	"Oxford, MS"
"University of Mississippi Medical Center"	"Jackson, MS"
"University of Missouri"	"Columbia, MO"
"University of Missouri - Kansas City"	"Kansas City, MO"
"University of Missouri at Saint Louis"	"St. Louis, MO"
"University of Mobile"	"Mobile, AL"
"The University of Montana-Western"	"Dillon, MT"
"University of Montevallo"	"Montevallo, AL"
"University of Mount Union"	"Alliance, OH"
"University of Nebraska - Lincoln"	"Lincoln, NE"
"University of Nebraska at Kearney"	"Kearney, NE"
"University of Nebraska at Omaha"	"Omaha, NE"
"University of Nebraska Medical Center"	"Omaha, NE"
"University of Nevada at Las Vegas"	"Las Vegas, NV"
"University of New England"	"Biddeford, ME"
"University of New Hampshire at Manchester"	"Manchester, NH"
"University of New Hampshire School of Law"	"Concord, NH"
"University of New Hampshire-Main Campus"	"Durham, NH"
"University of New Haven"	"West Haven, CT"
"University of New Mexico-Gallup Campus"	"Gallup, NM"
"University of New Mexico-Los Alamos Campus"	"Los Alamos, NM"
"University of New Mexico-Taos Campus"	"Ranchos de Taos, NM"
"University of New Mexico-Valencia County Campus"	"Los Lunas, NM"
"University of New Orleans"	"New Orleans, LA"
"University of North Alabama"	"Florence, AL"
"University of North Carolina at Asheville"	"Asheville, NC"
"University of North Carolina at Chapel Hill"	"Chapel Hill, NC"
"University of North Carolina at Charlotte"	"Charlotte, NC"
"University of North Carolina at Greensboro"	"Greensboro, NC"
"University of North Georgia"	"Dahlonega, GA"
"University of North Texas"	"Denton, TX"
"University of North Texas Health Science Center"	"Fort Worth, TX"
"University of Northern Iowa"	"Cedar Falls, IA"
"University of Northwestern - St. Paul"	"Saint Paul, MN"
"University of Oklahoma - Norman Campus"	"Norman, OK"
"University of Oklahoma Health Sciences Center"	"Oklahoma City, OK"
"University of Oregon"	"Eugene, OR"
"University of Pennsylvania"	"Philadelphia, PA"
"University of Pikeville"	"Pikeville, KY"
"University of Pittsburgh Medical Center-Shadyside School of Nursing"	"Pittsburgh, PA"
"University of Pittsburgh-Bradford"	"Bradford, PA"
"University of Pittsburgh-Greensburg"	"Greensburg, PA"
"University of Pittsburgh-Johnstown"	"Johnstown, PA"
"University of Pittsburgh-Pittsburgh Campus"	"Pittsburgh, PA"
"University of Pittsburgh-Titusville"	"Titusville, PA"
"University of Portland"	"Portland, OR"
"University of Providence"	"Great Falls, MT"
"University of Puget Sound"	"Tacoma, WA"
"University of Rhode Island"	"Kingston, RI"
"University of Richmond"	"Richmond, VA"
"University of Rio Grande"	"Rio Grande, OH"
"University of Rochester"	"Rochester, NY"
"University of Saint Joseph - CT"	"West Hartford, CT"
"University of San Diego"	"San Diego, CA"
"University of Science and Arts of Oklahoma"	"Chickasha, OK"
"University of Sioux Falls"	"Sioux Falls, SD"
"University of South Alabama"	"Mobile, AL"
"University of South Dakota"	"Vermillion, SD"
"University of South Florida - Sarasota-Manatee"	"Sarasota, FL"
"University of South Florida - St Petersburg"	"St. Petersburg, FL"
"University of Southern California"	"Los Angeles, CA"
"University of Southern Mississippi"	"Hattiesburg, MS"
"University of Spa & Cosmetology Arts"	"Springfield, IL"
"University of St Augustine for Health Sciences"	"St. Augustine, FL"
"University of St. Francis"	"Joliet, IL"
"University of St. Thomas"	"Saint Paul, MN"
"University of St. Thomas - TX"	"Houston, TX"
"The University of Tampa"	"Tampa, FL"
"The University of Tennessee - Chattanooga"	"Chattanooga, TN"
"The University of Tennessee - Health Science Center"	"Memphis, TN"
"The University of Tennessee - Knoxville"	"Knoxville, TN"
"The University of Tennessee - Martin"	"Martin, TN"
"The University of Texas - Rio Grande Valley"	"Edinburg, TX"
"The University of Texas at Dallas"	"Richardson, TX"
"The University of Texas at San Antonio"	"San Antonio, TX"
"The University of Texas Health Science Center at Houston"	"Houston, TX"
"The University of Texas Health Science Center at San Antonio"	"San Antonio, TX"
"The University of Texas M.D.  Anderson Cancer Center"	"Houston, TX"
"The University of Texas Medical Branch"	"Galveston, TX"
"The University of Texas Southwestern Medical Center"	"Dallas, TX"
"The University of the Arts"	"Philadelphia, PA"
"University of the Cumberlands"	"Williamsburg, KY"
"University of the District of Columbia"	"Washington D.C., DC"
"University of the Incarnate Word"	"San Antonio, TX"
"University of the Ozarks"	"Clarksville, AR"
"University of the Sciences"	"Philadelphia, PA"
"University of the West"	"Rosemead, CA"
"University of Toledo"	"Toledo, OH"
"University of Tulsa"	"Tulsa, OK"
"University of Utah"	"Salt Lake City, UT"
"University of Valley Forge"	"Phoenixville, PA"
"University of Vermont"	"Burlington, VT"
"The University of Virginia's College at Wise"	"Wise, VA"
"University of Washington - Bothell"	"Bothell, WA"
"University of Washington - Seattle"	"Seattle, WA"
"University of Washington - Tacoma"	"Tacoma, WA"
"University of West Alabama"	"Livingston, AL"
"University of West Georgia"	"Carrollton, GA"
"University of Western States"	"Portland, OR"
"University of Wisconsin - Eau Claire"	"Eau Claire, WI"
"University of Wisconsin - Green Bay"	"Green Bay, WI"
"University of Wisconsin - Madison"	"Madison, WI"
"University of Wisconsin - Oshkosh"	"Oshkosh, WI"
"University of Wisconsin - Platteville"	"Platteville, WI"
"University of Wisconsin - River Falls"	"River Falls, WI"
"University of Wisconsin - Stout"	"Menomonie, WI"
"University of Wisconsin - Whitewater"	"Whitewater, WI"
"University of Wisconsin-La Crosse"	"La Crosse, WI"
"University of Wisconsin-Milwaukee"	"Milwaukee, WI"
"University of Wisconsin-Stevens Point"	"Stevens Point, WI"
"University of Wyoming"	"Laramie, WY"
"Upper Iowa University"	"Fayette, IA"
"Upper Valley Joint Vocational School"	"Piqua, OH"
"Upstate Medical University"	"Syracuse, NY"
"Urban College of Boston"	"Boston, MA"
"Ursinus College"	"Collegeville, PA"
"Ursuline College"	"Pepper Pike, OH"
"Utah State University"	"Logan, UT"
"Utah Tech University"	"St. George, UT"
"Utah Valley University"	"Orem, UT"
"Valdosta State University"	"Valdosta, GA"
"Valley City State University"	"Valley City, ND"
"Valley Forge Military College"	"Wayne, PA"
"Valley Grande Institute for Academic Studies"	"Weslaco, TX"
"Valley Medical College"	"Salem, OR"
"Valparaiso University"	"Valparaiso, IN"
"Vanderbilt University"	"Nashville, TN"
"VanderCook College of Music"	"Chicago, IL"
"Vanguard College of Cosmetology-Metairie"	"Metairie, LA"
"Vanguard University"	"Costa Mesa, CA"
